2026-09-11T07:34:00Z	infra	brought the testbed up from cold: both k3d clusters were stopped and HAProxy was not running	the paired rerun cannot start against a dead testbed, and the cluster containers still existed so a start is minutes rather than a rebuild	k3d cluster start thesis-hybrid; k3d cluster start thesis-serverless; docker compose -f libs/infra/infra/networking/haproxy/docker-compose.yml up -d; all 11 preflight checks then passed	ready
2026-09-11T07:35:00Z	model	promoted the leak-free ClarkNet artifact to the serving path	the paired rerun must be served by the retrained model, not the synthetic one, or the run measures nothing new	cp results/models/gru/2026-09-10_clarknet-15s-h9-leakfree/artifacts/clarknet_gru_s44.pt data/models/gru_model.pt; sha256 20623c19c8407b11 matches the bundle's recorded winner sha256; /model/status reports horizon 9, sequence 30, interval 15, scaler_mean 98.41	done
2026-09-11T07:36:00Z	run	first n=1 pair attempted	the user asked for a minimum n=1 result for the supervisor	bundle 2026-09-11_clarknet-leakfree-paired-n1, S4 first then S3	invalid
2026-09-11T07:40:20Z	run	HAProxy exited eight minutes into the S4 run	it is the traffic path (k6 targets localhost:18082) and the load-history source the predictive arm needs	container sprint1-haproxy exited 0; k6 summary http_req_failed rate 0.9106; daemon logged connection refused on the stats socket and stats HTTP from 07:40:32 to 08:05	invalidated the run
2026-09-11T07:58:16Z	run	the treatment-fidelity gate correctly rejected S4	the arm ran the whole workload with zero predictions because the load history never reached the model's 30-sample window	validity_evaluated run_validity_passed=false, eligible_cycles 0, reasons ['no prediction-eligible cycles']; the daemon appended one history sample per 15 second cycle and stopped at four minutes when HAProxy died	gate worked; run kept as evidence under -invalid
2026-09-11T08:05:00Z	finding	the pipeline reported error_rate 0.0 for a run with 91 percent failed requests	a validity gate that cannot see failures lets a garbage run into the thesis	result.json error_rate 0.0 against k6 http_req_failed rate 0.9106	dispatched a fix in an isolated worktree
2026-09-11T08:10:00Z	run	restarted the n=1 pair with a process watcher and a container guard	the killer of the HAProxy container is unknown, so make it observable and survivable rather than guess	/tmp/thesis-killer-watch.py records any docker/k3d/compose/haproxy argv; /tmp/thesis-haproxy-guard.py logs and restarts the container on exit	rerun in flight
2026-09-11T09:19:00Z	run	launched the five-run pair, then the S1/S2 baselines, as one supervised chain	the user wanted the n=1 number now and the fuller evidence continuing unattended	hub process leakfree-n5-runs -> /tmp/thesis-n5-pair.sh; bundle 2026-09-11_clarknet-leakfree-paired-n5 then -baselines-n5; all preflight checks passed	first run valid
2026-09-11T09:41:00Z	run	first five-run arm completed with full treatment delivery	early signal that the long chain is healthy and that the prediction server survives a full run on CPU	s4-hybrid-predictive run 3: p99 108.8 ms, 5 SLO violations, 55 of 55 eligible forecasts delivered, validity passed	the n=1 S4 figure (p99 152.6, 254 violations) is therefore well inside run-to-run spread, which is the reason n=5 is required
2026-09-11T09:45:00Z	fix	fixed a second reporting defect: the bundle projection dropped total_requests	the analysis stage treats a run with no request count as an empty metric set, so every modern bundle produced an empty report while its runs were sound	libs/analysis/analysis/data_loaders.py; test test_build_results_final_carries_total_requests; report regenerated for the n=1 bundle	done; analysis artifacts committed with the bundle
2026-09-11T13:20:00Z	measure	decomposed what the controller actually sizes from, and it is not the forecast of load	the earlier explanation, a train-serve level shift, would have sent the work into instance normalisation; the measurement says otherwise	live /predict on the serving artifact: a flat window at 68 returns point 74.1 and upper envelope 134.2; the daemon consumes max(upper) = 134, which is 1.97x the level; across six window shapes the ratio runs 1.21x to 2.73x	the inflation is the one-sided envelope plus taking its global maximum, not a level mismatch
2026-09-11T13:25:00Z	run	measured the online skill of each candidate signal against what actually arrived 135 seconds later	the point forecast and the envelope are different quantities and the controller treats them as one	from the recorded S4 daemon logs: envelope signal MAE 52.4 rps and point forecast MAE 42.2 rps, against persistence 32.6 and 37.0 respectively; the envelope signal averages 103.6 rps and the point forecast 86.9 against an observed 67.6	sizing from the point forecast removes about a third of the error; persistence is still better than both
2026-09-11T13:30:00Z	fix	reverted the level-anchor experiment after it failed its own live check	shipping a calibration for a mechanism that measurement contradicts is worse than shipping nothing	git checkout of the three predictor files; the anchor test removed; the measurement that killed it kept in this trail	reverted
2026-09-11T13:40:00Z	fix	made the sizing signal and the under-forecast lever explicit, defaulting to current behaviour	two levers, each addressing a measured defect: which forecast quantity sizes capacity, and whether to ask for less than it	apps/routing/routing/daemon/service.py; tests assert the capacity signal the controller sizes from, including one that records the envelope path taking the global maximum and ignoring horizon alignment	committed, 5 tests pass
2026-09-11T13:45:00Z	run	queued the two S4 variants behind the baseline bundle	the testbed is single-tenant and the baselines are still running	hub process s4-ab-variants: point sizing, then point sizing with a 0.85 under-forecast, three runs each against the recorded five-run baseline	waiting
